Name,Price,Offer,PreviousPrice,Retailer,DateScraped
A Winter's Tale Amontillado Sherry (75 Centiliter),12.50,,,SuperValu,20181219
Abellio Albarino (75 Centiliter),10.00,,,SuperValu,20181219
Albert Glas Pinot Noir Black Label (75 Centiliter),15.00,,,SuperValu,20181219
Annelise PInot Grigio (75 Centilitre),9.00,,,SuperValu,20181219
Apothic Red (75 Centiliter),12.00,,,SuperValu,20181219
Beamish Draught Stout (500 Millilitre),2.02,,,SuperValu,20181219
Blacks 1601 Lager (500 Millilitre),3.29,,,SuperValu,20181219
Blacks Marching Powder IPA (500 Millilitre),3.29,,,SuperValu,20181219
Budweiser Bottle 20 Pack (300 Millilitre),17.00,,,SuperValu,20181219
Budweiser Can (500 Millilitre),2.39,,,SuperValu,20181219
9 White Deer Brewery Stag Saor Kolsch Style (500 Millilitre),3.59,,,SuperValu,20181219
Atlantic Pale Ale (500 Millilitre),2.99,,,SuperValu,20181219
Blacks Kinsales Pale Ale (500 Millilitre),3.39,,,SuperValu,20181219
Brewdog Dead Pony Club Bottle (330 Millilitre),2.80,,,SuperValu,20181219
Brewdog Punk Ipa Can (330 Millilitre),2.77,,,SuperValu,20181219
Appleman's Cider Bottle Pack (500 Millilitre),1.75,"WAS 2.35, NOW 1.75, SAVE 0.60",2.35,SuperValu,20181219
Bulmers 24 Pack (500 Millilitre),25.00,"WAS 34.00, NOW 25.00, SAVE 9.00",34.00,SuperValu,20181219
Bulmers Berry Can (500 Millilitre),2.49,,,SuperValu,20181219
Bulmers Juicy Pear Cider Can (500 Millilitre),2.49,,,SuperValu,20181219
Bulmers Light Can (500 Millilitre),2.20,,,SuperValu,20181219
Absolut Blue Vodka (70 Centiliter),20.00,"WAS 27.49, NOW 20.00, SAVE 7.49",27.49,SuperValu,20181219
Absolut Citron (70 Centilitre),20.00,"WAS 26.00, NOW 20.00, SAVE 6.00",26.00,SuperValu,20181219
Absolut Lime (70 Centilitre),20.00,"WAS 26.00, NOW 20.00, SAVE 6.00",26.00,SuperValu,20181219
Absolut Raspberri (70 Centilitre),20.00,"WAS 26.00, NOW 20.00, SAVE 6.00",26.00,SuperValu,20181219
Absolut Vodka (1 Litre),30.00,"WAS 39.99, NOW 30.00, SAVE 9.99",39.99,SuperValu,20181219
Absolut Vodka (35 Centilitre),11.49,"WAS 14.40, NOW 11.49, SAVE 2.91",14.40,SuperValu,20181219
Eristoff Original Vodka (70 Centiliter),19.00,"WAS 23.00, NOW 19.00, SAVE 4.00",23.00,SuperValu,20181219
Finlandia Classic Vodka (70 Centiliter),22.00,"WAS 27.50, NOW 22.00, SAVE 5.50",27.50,SuperValu,20181219
Grey Goose Vodka (70 Centilitre),50.00,"WAS 58.50, NOW 50.00, SAVE 8.50",58.50,SuperValu,20181219
Huzzar Vodka (1 Litre),28.00,"WAS 32.00, NOW 28.00, SAVE 4.00",32.00,SuperValu,20181219
Huzzar Vodka (70 Centiliter),19.00,"WAS 22.48, NOW 19.00, SAVE 3.48",22.48,SuperValu,20181219
Ketel One Vodka (70 Centiliter),29.00,"WAS 40.00, NOW 29.00, SAVE 11.00",40.00,SuperValu,20181219
Smirnoff Vodka (1 Litre),25.00,"WAS 33.00, NOW 25.00, SAVE 8.00",33.00,SuperValu,20181219
Smirnoff Vodka Red (70 Centilitre),20.00,"WAS 25.00, NOW 20.00, SAVE 5.00",25.00,SuperValu,20181219
Absolut Elyx (70 Centilitre),64.00,,,SuperValu,20181219
Absolut Vodka (20 Centilitre),7.99,,,SuperValu,20181219
Belvedere Vodka (70 Centiliter),57.00,,,SuperValu,20181219
Dingle Vodka (70 Centilitre),38.00,,,SuperValu,20181219
Eristoff Original Vodka (200 Millilitre),6.00,,,SuperValu,20181219
Huzzar Vodka (350 Millilitre),11.99,,,SuperValu,20181219
Huzzar Vodka (200 Millilitre),6.65,,,SuperValu,20181219
Sausage tree Pure Irish Vodka (70 Centiliter),49.00,,,SuperValu,20181219
Smirnoff (35 Centiliter),12.00,,,SuperValu,20181219
Smirnoff Vodka Red (20 Centilitre),7.00,,,SuperValu,20181219
Stoli Gluten Free Vodka (70 Centilitre),29.00,,,SuperValu,20181219
Wyborowa (70 Centilitre),25.30,,,SuperValu,20181219
Black Bush (70 Centiliter),26.00,"WAS 32.00, NOW 26.00, SAVE 6.00",32.00,SuperValu,20181219
Bushmills Gift Tube (70 Centiliter),23.00,"WAS 27.99, NOW 23.00, SAVE 4.99",27.99,SuperValu,20181219
Bushmills Irish Whiskey (70 Centiliter),23.00,"WAS 27.99, NOW 23.00, SAVE 4.99",27.99,SuperValu,20181219
Connemara Single Malt (70 Centilitre),37.00,"WAS 42.00, NOW 37.00, SAVE 5.00",42.00,SuperValu,20181219
Dunphy's Irish Whiskey (70 Centiliter),21.00,"WAS 24.21, NOW 21.00, SAVE 3.21",24.21,SuperValu,20181219
Ha'Penny Whiskey (70 Centilitre),41.00,"WAS 45.99, NOW 41.00, SAVE 4.99",45.99,SuperValu,20181219
Jameson Black Barrel (70 Centiliter),40.00,"WAS 50.00, NOW 40.00, SAVE 10.00",50.00,SuperValu,20181219
Jameson Blender's Dog (70 Centiliter),60.00,"WAS 69.99, NOW 60.00, SAVE 9.99",69.99,SuperValu,20181219
Jameson Caskmates IPA (70 Centiliter),33.00,"WAS 38.00, NOW 33.00, SAVE 5.00",38.00,SuperValu,20181219
Jameson Cooper's Croze (70 Centilitre),60.00,"WAS 69.99, NOW 60.00, SAVE 9.99",69.99,SuperValu,20181219
Jameson Crested (70 Centiliter),30.00,"WAS 36.00, NOW 30.00, SAVE 6.00",36.00,SuperValu,20181219
Jameson Distiller's Safe (70 Centilitre),60.00,"WAS 69.99, NOW 60.00, SAVE 9.99",69.99,SuperValu,20181219
Jameson Glass Pack (70 Centiliter),20.00,"WAS 29.99, NOW 20.00, SAVE 9.99",29.99,SuperValu,20181219
Jameson Stout Caskmates (70 Centiliter),33.00,"WAS 39.00, NOW 33.00, SAVE 6.00",39.00,SuperValu,20181219
Jameson Triple Distilled Irish Whiskey (70 Centiliter),20.00,"WAS 29.99, NOW 20.00, SAVE 9.99",29.99,SuperValu,20181219
