Name,Price,Offer,PreviousPrice,Retailer,DateScraped
1000 Stories Zinfandel (75 Centilitre),15.00,"WAS 18.00, NOW 15.00, SAVE 3.00",18.00,SuperValu,20200407
Annelise PInot Grigio (75 Centilitre),9.00,"WAS 11.99, NOW 9.00, SAVE 2.99",11.99,SuperValu,20200407
Apothic Red (75 Centilitre),12.00,"WAS 15.00, NOW 12.00, SAVE 3.00",15.00,SuperValu,20200407
Aresti Bellavista Cabernet Sauvignon (75 Centilitre),10.00,"WAS 12.99, NOW 10.00, SAVE 2.99",12.99,SuperValu,20200407
Aresti Bellavista Chardonnay (75 Centilitre),10.00,"WAS 12.99, NOW 10.00, SAVE 2.99",12.99,SuperValu,20200407
Birra Moretti 4 Pack Bottle (330 Millilitre),7.00,"WAS 7.50, NOW 7.00, SAVE 0.50",7.50,SuperValu,20200407
Birra Moretti Bottle (660 Millilitre),3.00,,,SuperValu,20200407
Budweiser Can (500 Millilitre),2.49,,,SuperValu,20200407
Budweiser Can 12 Pack (500 Millilitre),15.00,"WAS 19.00, NOW 15.00, SAVE 4.00",19.00,SuperValu,20200407
Budweiser Lager Can 8 Pack (500 Millilitre),12.50,"WAS 14.00, NOW 12.50, SAVE 1.50",14.00,SuperValu,20200407
12 Acres Pale Ale (500 Millilitre),3.29,,,SuperValu,20200407
12 Acres Single Malt Lager (500 Millilitre),3.29,,,SuperValu,20200407
9 White Deer Brewery Stag Saor Kolsch Style (500 Millilitre),3.59,,,SuperValu,20200407
Asahi Super Dry (620 Millilitre),3.85,,,SuperValu,20200407
Boyne Brewhouse Irish Craft Larger (500 Millilitre),3.29,,,SuperValu,20200407
Bulmers Can 12 Pack (500 Millilitre),15.00,"WAS 19.00, NOW 15.00, SAVE 4.00",19.00,SuperValu,20200407
Druids Celtic Cider Can 8 Pack (500 Millilitre),11.00,"WAS 13.00, NOW 11.00, SAVE 2.00",13.00,SuperValu,20200407
Kopparberg Mixed Fruit 4% Bottle (500 Millilitre),3.45,,,SuperValu,20200407
Kopparberg Strawberry & Lime Bottle (500 Millilitre),3.45,,,SuperValu,20200407
Orchard Thieves (660 Millilitre),3.10,,,SuperValu,20200407
Baileys The Original Irish Cream (70 Centilitre),15.00,"WAS 24.00, NOW 15.00, SAVE 9.00",24.00,SuperValu,20200407
Beefeater Blood Orange (70 Centilitre),21.00,"WAS 25.50, NOW 21.00, SAVE 4.50",25.50,SuperValu,20200407
Beefeater London Dry Gin (70 Centilitre),23.00,"WAS 27.99, NOW 23.00, SAVE 4.99",27.99,SuperValu,20200407
Captain Morgan Spiced Gold Rum (70 Centilitre),25.00,"WAS 30.00, NOW 25.00, SAVE 5.00",30.00,SuperValu,20200407
Captain Morgan White Rum (70 Centilitre),25.00,"WAS 27.99, NOW 25.00, SAVE 2.99",27.99,SuperValu,20200407
Huzzar Vodka (70 Centilitre),17.00,"WAS 22.59, NOW 17.00, SAVE 5.59",22.59,SuperValu,20200407
Smirnoff Vodka Red (70 Centilitre),21.00,"WAS 26.00, NOW 21.00, SAVE 5.00",26.00,SuperValu,20200407
Absolut Blue Vodka (70 Centilitre),27.85,,,SuperValu,20200407
Absolut Citron (70 Centilitre),26.30,,,SuperValu,20200407
Absolut Grapefruit (70 Centilitre),26.00,,,SuperValu,20200407
Absolut Raspberri (70 Centilitre),26.30,,,SuperValu,20200407
Absolut Vodka (35 Centilitre),14.60,,,SuperValu,20200407
Absolut Vodka (20 Centilitre),7.99,,,SuperValu,20200407
Absolut Vodka (1 Litre),40.30,,,SuperValu,20200407
Eristoff Original Vodka (70 Centilitre),23.20,,,SuperValu,20200407
Finlandia Classic Vodka (70 Centilitre),27.50,,,SuperValu,20200407
Huzzar Vodka (350 Millilitre),12.05,,,SuperValu,20200407
Huzzar Vodka (200 Millilitre),6.65,,,SuperValu,20200407
Huzzar Vodka (1 Litre),32.20,,,SuperValu,20200407
Smirnoff Vodka (1 Litre),34.00,,,SuperValu,20200407
Smirnoff Vodka (20 Centilitre),7.00,,,SuperValu,20200407
Wyborowa (70 Centilitre),25.75,,,SuperValu,20200407
Powers Gold Label (200 Millilitre),9.00,"WAS 10.70, NOW 9.00, SAVE 1.70",10.70,SuperValu,20200407
Powers Irish Whiskey Gold Label (70 Centilitre),25.00,"WAS 29.79, NOW 25.00, SAVE 4.79",29.79,SuperValu,20200407
Slane Irish Whiskey (70 Centilitre),25.00,"WAS 33.00, NOW 25.00, SAVE 8.00",33.00,SuperValu,20200407
Black Bush (70 Centilitre),33.00,,,SuperValu,20200407
Bushmills 10 Year Old Malt Whiskey (70 Centilitre),48.00,,,SuperValu,20200407
Bushmills Irish Whiskey (70 Centilitre),28.29,,,SuperValu,20200407
Connemara Single Malt (70 Centilitre),42.00,,,SuperValu,20200407
Dunphy's Irish Whiskey (70 Centilitre),24.55,,,SuperValu,20200407
Irishman Founders Reserve Whiskey (70 Centilitre),39.00,,,SuperValu,20200407
Jameson Irish Whiskey (1 Litre),47.65,,,SuperValu,20200407
Jameson Stout Caskmates (70 Centilitre),39.00,,,SuperValu,20200407
Jameson Triple Distilled Irish Whiskey (70 Centilitre),30.50,,,SuperValu,20200407
Jameson Triple Distilled Irish Whiskey (35 Centilitre),19.59,,,SuperValu,20200407
Kilbeggan Whiskey (70 Centilitre),27.27,,,SuperValu,20200407
Paddy Irish Whiskey (350 Millilitre),15.99,,,SuperValu,20200407
Paddy Irish Whiskey (200 Millilitre),10.77,,,SuperValu,20200407
Paddy Irish Whiskey (1 Litre),42.00,,,SuperValu,20200407
Pearce 7 Year Old Whiskey (1 70 CL),45.00,,,SuperValu,20200407
Powers Gold Label (1 Litre),45.00,,,SuperValu,20200407
Powers Gold Label (350 Millilitre),17.00,,,SuperValu,20200407
Powers Old Fashioned (50 Centilitre),30.00,,,SuperValu,20200407
Redbreast 15 Year Old Whiskey (70 Millilitre),100.00,,,SuperValu,20200407
Redbreast Whiskey (70 Centilitre),90.00,,,SuperValu,20200407
RedBrest Whiskey 12 Year Old (70 Centilitre),65.00,,,SuperValu,20200407
Roe & Co Irish Whiskey (70 Centilitre),45.00,,,SuperValu,20200407
Teeling Whiskey (70 Centilitre),38.00,,,SuperValu,20200407
Teeling Whiskey Brabazon Series 2 (70 Centilitre),78.00,,,SuperValu,20200407
Teeling Whiskey Small Batch Metal Gift Tin (70 Centilitre),38.00,,,SuperValu,20200407
Teeling Whiskey Trinity 3 Gift Pack (5 Centilitre),19.00,,,SuperValu,20200407
Tullamore Dew Original 2 Glass Pack (70 Centilitre),31.00,,,SuperValu,20200407
Tullamore Dew Whiskey (70 Centilitre),31.00,,,SuperValu,20200407
West Cork Original Irish Whiskey (70 Centilitre),24.99,,,SuperValu,20200407
Writers Tears Copper Pot Whiskey (70 Centilitre),44.99,,,SuperValu,20200407
Writers Tears Potstill Glass Pack (1 70 CL),45.00,,,SuperValu,20200407
Writers Tears Single Malt Red Head (70 Centilitre),50.00,,,SuperValu,20200407
Yellow Spot 12 Year Old Single Pot Still (70 Centilitre),80.00,,,SuperValu,20200407
Jack Daniels 40% (70 Centilitre),28.00,"WAS 34.75, NOW 28.00, SAVE 6.75",34.75,SuperValu,20200407
Southern Comfort Black (70 70 CL),25.00,"WAS 34.00, NOW 25.00, SAVE 9.00",34.00,SuperValu,20200407
Buffalo Trace (70 70 CL),37.00,,,SuperValu,20200407
Bulleit Bourbon Frontier Whiskey (70 Centilitre),44.00,,,SuperValu,20200407
Jack Daniels 40% (200 Millilitre),12.00,,,SuperValu,20200407
Jack Daniels Tennessee Honey (70 Centilitre),34.75,,,SuperValu,20200407
Jim Beam (70 Centilitre),28.99,,,SuperValu,20200407
Teachers Scoth Whisky (70 Centilitre),22.00,"WAS 25.45, NOW 22.00, SAVE 3.45",25.45,SuperValu,20200407
Bell's Original Scotch Whisky (70 Centilitre),27.00,,,SuperValu,20200407
Teachers Scotch Whisky (20 Centilitre),8.45,,,SuperValu,20200407
Remy Martin V.S.O.P Fine Champagne Cognac (70 Centilitre),45.00,"WAS 54.00, NOW 45.00, SAVE 9.00",54.00,SuperValu,20200407
Courvoisier Very Special Cognac (70 Centilitre),36.85,,,SuperValu,20200407
Hennessy Cognac (200 Millilitre),13.15,,,SuperValu,20200407
Hennessy Very Special Brandy (350 Millilitre),21.85,,,SuperValu,20200407
