Name,Price,PreviousPrice,Offer,Retailer,DateScraped
 Drumshanbo Gunpowder Gin 70cl ,39.95,43.28,,OBriens,20210223
 Smirnoff 70cl ,20.95,24.54,,OBriens,20210223
 Bushmills Black Bush 70cl ,25.95,31.48,,OBriens,20210223
 Woodford Reserve 70cl ,42.30,,,OBriens,20210223
 Jameson Caskmates Stout 70cl ,37.38,,,OBriens,20210223
 Teeling Small Batch Whiskey 70cl ,37.38,,,OBriens,20210223
 Yellow Spot Whiskey 70cl ,69.95,78.65,,OBriens,20210223
 Bombay Sapphire Gin 70cl ,29.95,31.14,,OBriens,20210223
 Grey Goose Vodka 70cl ,57.06,,,OBriens,20210223
 Absolut 70cl ,19.95,28.04,,OBriens,20210223
 Maker's Mark Bourbon 70cl ,45.25,,,OBriens,20210223
 Gordons 70cl ,19.95,25.53,,OBriens,20210223
 Jack Daniels 70cl ,29.95,34.38,,OBriens,20210223
 Dingle Gin 70cl ,35.41,,,OBriens,20210223
 Aberlour A'Bunadh Batch 60 ,75.00,97.50,,OBriens,20210223
 Slane Whiskey 70cl ,32.46,,,OBriens,20210223
 Waterford Distillery Ratheadon 1.2 70cl ,68.86,,,OBriens,20210223
 Hendricks Gin 70cl ,39.00,,,OBriens,20210223
 Redbreast 12YO 70cl ,61.98,,,OBriens,20210223
 Tanqueray Gin 70cl ,26.95,31.48,,OBriens,20210223
 Monkey 47 50cl ,56.07,,,OBriens,20210223
 Green Spot Whiskey 70cl ,58.98,,,OBriens,20210223
 Hennessy VS 70cl ,35.00,37.38,,OBriens,20210223
 Jack Daniels Single Barrel 70cl ,58.29,,,OBriens,20210223
 Patron Silver 70cl ,64.93,,,OBriens,20210223
 Jameson 70cl ,28.95,29.51,,OBriens,20210223
 Bacardi Carta Blanca 70cl ,26.07,,,OBriens,20210223
 Bacardi Spiced 70cl ,26.07,,,OBriens,20210223
 Baileys 70cl ,21.15,,,OBriens,20210223
 Jameson Caskmates IPA 70cl ,37.38,,,OBriens,20210223
 Five Farms Irish Cream 70cl ,34.38,,,OBriens,20210223
 Knappogue 12YO 70cl ,46.24,,,OBriens,20210223
 Redbreast Lustau 70cl ,67.88,,,OBriens,20210223
 Beefeater 24 70cl ,39.35,,,OBriens,20210223
 Buffalo Trace Bourbon 70cl ,39.35,,,OBriens,20210223
 Method & Madness Single Malt 70cl ,80.67,,,OBriens,20210223
 Suntory Haku Vodka 70cl ,25.00,40.00,,OBriens,20210223
 Writers' Tears Copper Pot 70cl ,46.24,,,OBriens,20210223
 Belvedere Vodka 70cl ,56.07,,,OBriens,20210223
 Jameson Black Barrel 70cl ,49.19,,,OBriens,20210223
 Powers Johns Lane 70cl ,63.94,,,OBriens,20210223
 St Germain 50cl ,31.48,,,OBriens,20210223
 Havana Club 3YO 70cl ,23.00,27.50,,OBriens,20210223
 Roe & Co Irish Whiskey 70cl ,41.32,,,OBriens,20210223
 Seedlip Grove Non Alcoholic Gin 70cl ,32.41,,,OBriens,20210223
 Roku Japanese Gin 70cl ,35.00,44.22,,OBriens,20210223
 Diplomatico Reserva Rum 70cl ,54.11,,,OBriens,20210223
 Teeling Poitin 50cl ,32.46,,,OBriens,20210223
 Tails Espresso Martini 1L ,35.41,,,OBriens,20210223
 Drumshanbo Inaugural 46% Single Pot Still ,100.00,,,OBriens,20210223
 Beefeater Blood Orange 70cl ,20.00,25.58,,OBriens,20210223
 Mount Gay Rum 70cl ,36.40,,,OBriens,20210223
 Dingle Single Pot Still 70cl ,88.54,,,OBriens,20210223
 Glendalough Double Barrel 70cl ,34.43,,,OBriens,20210223
 Connacht Brothership 70cl ,69.40,78.65,,OBriens,20210223
 Gordons Pink Gin 70cl ,19.95,24.59,,OBriens,20210223
 Longueville Apple Brandy 50cl ,34.43,,,OBriens,20210223
 Seedlip 108 Non Alc Gin 70cl ,32.41,,,OBriens,20210223
 Kilbeggan 70cl ,27.05,,,OBriens,20210223
 KI NO BI Kyoto Dry Gin ,60.00,,,OBriens,20210223
 Bols Blue Curacao 70cl ,22.63,,,OBriens,20210223
 Tails Classic Mojito 1L ,35.41,,,OBriens,20210223
 Cork Dry Gin 70cl ,20.95,24.54,,OBriens,20210223
 Glendalough Pot Still ,54.11,,,OBriens,20210223
 Eristoff Vodka 1L ,34.38,,,OBriens,20210223
 Malfy Arancia 70cl ,29.00,35.41,,OBriens,20210223
 Glenmorangie 10 Year Old 70cl ,52.63,,,OBriens,20210223
 Benchmark No 8 Bourbon 70cl ,29.51,,,OBriens,20210223
 Bombay Sapphire English Estate 70cl ,32.96,,,OBriens,20210223
 Bacardi Carta Blanca 1L ,37.38,,,OBriens,20210223
 Olmeca Tequila Reposado 70cl ,32.96,,,OBriens,20210223
 Powers Gold Label 70cl ,23.95,31.43,,OBriens,20210223
 Hennessy VSOP 70cl ,59.02,,,OBriens,20210223
 Powers '3 Swallow' Release 70c ,46.73,,,OBriens,20210223
 Irishman Single Malt 70cl ,45.00,49.19,,OBriens,20210223
 Game of Thrones Whisky Set ,482.03,,,OBriens,20210223
 Captain Morgan Spiced 70cl ,22.95,26.07,,OBriens,20210223
 Kahlua 70cl ,26.07,,,OBriens,20210223
 Method & Madness Single Pot Still 70cl ,73.78,,,OBriens,20210223
 Pearse The Original Blend 70cl ,37.40,43.28,,OBriens,20210223
 Tyrconnell Single Malt 43% 70cl ,39.30,,,OBriens,20210223
 West Cork Glengarrif Peat 70cl ,38.32,,,OBriens,20210223
 Jameson Crested Whiskey 70cl ,35.91,,,OBriens,20210223
 Casamigos Blanco 70cl ,70.83,,,OBriens,20210223
 Cork Dry Gin 1L ,35.41,,,OBriens,20210223
 Martell VS 70cl ,34.92,,,OBriens,20210223
 Benedictine 70cl ,39.84,,,OBriens,20210223
 Boatyard Double Gin 70cl ,43.28,,,OBriens,20210223
 Patron Reposado 70cl ,68.86,,,OBriens,20210223
 Blackwoods 2017 Vintage Gin 70cl ,28.55,34.38,,OBriens,20210223
 Method & Madness Gin 70cl ,39.00,49.19,,OBriens,20210223
 Jose Cuervo Especial Gold 70cl ,29.51,,,OBriens,20210223
 Sambuca Ramazzotti 70cl ,25.58,,,OBriens,20210223
 Midleton Dair Ghaelach Tree 6 Knockrath ,304.96,,,OBriens,20210223
 Midleton Dair Ghaelach Tree 1 Knockrath ,304.96,,,OBriens,20210223
 Pimms No. 1 70cl ,23.61,,,OBriens,20210223
 Knappogue 14YO 70cl ,63.94,,,OBriens,20210223
 Bombay Sapphire Star 70cl ,51.15,,,OBriens,20210223
 Tanqueray 10 70cl ,49.19,,,OBriens,20210223
 Havana Club 7YO 70cl ,40.33,,,OBriens,20210223
 Redbreast 15YO 70cl ,98.37,,,OBriens,20210223
 Jameson Blenders Dog 70cl ,68.86,,,OBriens,20210223
 Jack Daniels Honey 70cl ,34.38,,,OBriens,20210223
 Absolut 1 Litre ,34.38,,,OBriens,20210223
 Midleton Dair Ghaelach Tree 4 Knockrath ,304.96,,,OBriens,20210223
 Jameson Cold Brew 70cl ,30.50,,,OBriens,20210223
 Jack Daniel's Tennessee Apple 70cl ,34.18,,,OBriens,20210223
 Zacapa Rum 70cl ,66.89,,,OBriens,20210223
 Light House Gin 70cl ,36.60,43.24,,OBriens,20210223
 Teeling Blackpitts 70cl Bottle ,59.02,,,OBriens,20210223
 Writers' Tears Double Oak 70cl ,56.07,,,OBriens,20210223
 Tia Maria 70cl ,23.61,,,OBriens,20210223
 Irish Mist 70cl ,32.46,,,OBriens,20210223
 Grand Marnier 70cl ,41.32,,,OBriens,20210223
 Eristoff Original 70cl ,24.10,,,OBriens,20210223
 Drumshanbo 43% Pot Still ,58.04,,,OBriens,20210223
 Tullamore Dew 70cl ,31.43,,,OBriens,20210223
 Bosford Pink Gin 70cl ,26.56,,,OBriens,20210223
 Hennessy XO 70cl ,155.43,,,OBriens,20210223
 Writers' Tears Red head Single Malt 70cl ,59.02,,,OBriens,20210223
 Irishman Founders Reserve 70cl ,35.41,,,OBriens,20210223
 El Jimador Tequila Blanco 70cl ,34.43,,,OBriens,20210223
 Ciroc Vodka 70cl ,49.19,,,OBriens,20210223
 Jagermeister 70cl ,27.54,,,OBriens,20210223
 Sailor's Home The Haven 70cl ,58.00,,,OBriens,20210223
 Beefeater Pink Gin 70cl ,20.00,24.54,,OBriens,20210223
 Remy VSOP 70cl ,54.11,,,OBriens,20210223
 Paddy 70cl ,28.48,,,OBriens,20210223
 Johnnie Walker BlackLabel 70cl ,42.25,,,OBriens,20210223
 Jim Beam 70cl ,28.04,,,OBriens,20210223
 Bols Creme de Menthe Green70cl ,22.63,,,OBriens,20210223
 Irishman 12YO Single Malt 70cl ,63.94,,,OBriens,20210223
 Teeling Single Malt 70cl ,54.11,,,OBriens,20210223
 Teeling Single Grain Whiskey 70cl ,47.17,,,OBriens,20210223
 Copperhead Gin 50cl ,38.90,44.22,,OBriens,20210223
 Gordons Sicilian Lemon 70cl ,24.59,,,OBriens,20210223
 Powers Old Fashioned 50cl ,29.51,,,OBriens,20210223
 Chinnery Gin 70cl ,45.00,49.19,,OBriens,20210223
 Jameson Distillers Safe 70cl ,68.86,,,OBriens,20210223
 Jack Daniels Gentleman Jack 70cl ,47.22,,,OBriens,20210223
 Havana Club Anejo Especial 70c ,30.50,,,OBriens,20210223
 Disaronno 70cl ,29.51,,,OBriens,20210223
 Galway Gin 70cl ,39.70,44.22,,OBriens,20210223
 Midleton Dair Ghaelach Tree 3 Knockrath ,304.96,,,OBriens,20210223
 Midleton Dair Ghaelach Tree 2 Knockrath ,304.96,,,OBriens,20210223
 Bacardi Ginger 70cl Bottle ,25.09,,,OBriens,20210223
 Teeling Single Pot Still 70cl ,50.00,54.11,,OBriens,20210223
 Lambay Small Batch 70cl ,41.27,,,OBriens,20210223
 Teachers 70cl ,25.58,,,OBriens,20210223
 Frangelico 70cl ,26.51,,,OBriens,20210223
 Canadian Club 70cl ,34.43,,,OBriens,20210223
 Bushmills White Label 70cl ,28.53,,,OBriens,20210223
 Aperol 70cl ,19.63,,,OBriens,20210223
 CleanCo CleanGin 70cl ,27.00,,,OBriens,20210223
 Hennessy VSOP Cocktail Set - Old Fashioned ,59.02,,,OBriens,20210223
 Clonakilty Minke Gin 70cl ,44.22,,,OBriens,20210223
 Cointreau 70cl ,34.43,,,OBriens,20210223
 Tyrconnell 16YO 70cl ,93.46,,,OBriens,20210223
 Brockmans Gin 70cl ,44.27,,,OBriens,20210223
 Teeling Small Batch Glass Pack 70cl ,39.95,44.27,,OBriens,20210223
 Calvados du Breuil 70cl ,47.22,,,OBriens,20210223
 Patron Anejo 70cl ,76.24,,,OBriens,20210223
 6 O'Clock Gin 70cl ,39.10,48.20,,OBriens,20210223
 Midleton Dair Ghaelach Tree 5 Knockrath ,304.96,,,OBriens,20210223
 Aperol 1 Litre ,22.58,,,OBriens,20210223
 Bombay Bramble 70cl ,27.00,32.46,,OBriens,20210223
 Ketel One Botanicals Grapefruit & Rose 70cl Btl ,29.51,,,OBriens,20210223
 Ketel One Botanicals Peach & Orange 70cl Btl ,29.51,,,OBriens,20210223
 Archers Peach Schnapps 70cl ,20.66,,,OBriens,20210223
 Galliano 50cl ,23.61,,,OBriens,20210223
 Patron XO Cafe 70cl ,46.24,,,OBriens,20210223
 Bols Creme de Cassis 70cl ,18.69,,,OBriens,20210223
 Sling Shot Gin 70cl ,40.00,44.27,,OBriens,20210223
 Game of Thrones House Targaryen & Cardhu 70cl ,63.94,,,OBriens,20210223
 Graham Norton Pink Gin 70cl ,35.00,41.32,,OBriens,20210223
 Glendalough Rose Gin 70cl ,30.00,37.33,,OBriens,20210223
 Tanqueray Lovage 1L ,58.60,70.83,,OBriens,20210223
 Bonac Gin 70cl ,44.27,,,OBriens,20210223
 Botanic Gin 70cl ,47.22,,,OBriens,20210223
 Beefeater Gin 70cl ,25.58,,,OBriens,20210223
 Laubade Armagnac 1979 ,147.56,,,OBriens,20210223
 CleanCo CleanRum 70cl ,27.00,,,OBriens,20210223
 Suntory Whisky Toki 70cl Bottle ,44.27,,,OBriens,20210223
 Graham Norton Gin 70cl ,35.00,41.32,,OBriens,20210223
 Bacardi Raspberry 70cl Bottle ,25.09,,,OBriens,20210223
