Name,Price,PreviousPrice,Offer,Retailer,DateScraped
 Drumshanbo Gunpowder Gin 70cl ,39.95,44.00,  Was €49.00  ,OBriens,20200919
 Bombay Sapphire Gin 70cl ,31.65,,,OBriens,20200919
 Redbreast 12YO 70cl ,60.00,63.00,,OBriens,20200919
 Monkey 47 50cl ,57.00,,,OBriens,20200919
 Hendricks Gin 70cl ,39.00,,,OBriens,20200919
 Absolut 70cl ,19.95,28.50,,OBriens,20200919
 Roku Gift Pack ,44.95,,,OBriens,20200919
 Baileys 70cl ,21.50,,,OBriens,20200919
 Jameson 70cl ,25.00,30.00,,OBriens,20200919
 Captain Morgan Spiced 70cl ,22.95,26.50,,OBriens,20200919
 Powers '3 Swallow' Release 70c ,35.00,47.50,,OBriens,20200919
 Woodford Reserve 70cl ,43.00,,,OBriens,20200919
 Tanqueray Flor de Sevilla 70cl ,37.00,,,OBriens,20200919
 Green Spot Whiskey 70cl ,50.00,59.95,,OBriens,20200919
 Smirnoff 70cl ,20.95,24.95,,OBriens,20200919
 Dingle Gin 70cl ,36.00,,,OBriens,20200919
 Bacardi Carta Blanca 1L ,30.00,38.00,,OBriens,20200919
 Finlandia Vodka 70cl ,26.50,,,OBriens,20200919
 Hennessy VS 70cl ,35.00,38.00,,OBriens,20200919
 Aperol 70cl ,19.95,,,OBriens,20200919
 Aperol 1 Litre ,22.95,,,OBriens,20200919
 Bacardi Carta Blanca 70cl ,26.50,,,OBriens,20200919
 Absolut 1 Litre ,34.95,,,OBriens,20200919
 Slane Whiskey 70cl ,28.95,33.00,,OBriens,20200919
 Yellow Spot Whiskey 70cl ,70.00,79.95,,OBriens,20200919
 Roe & Co Curators Series 70cl ,45.00,50.00,,OBriens,20200919
 Stolichnaya 70cl ,29.00,,,OBriens,20200919
 Pimms No. 1 70cl ,24.00,,,OBriens,20200919
 Glenmorangie 10 Year Old 70cl ,53.50,,,OBriens,20200919
 Roku Japanese Gin 70cl ,44.95,,,OBriens,20200919
 Chambord Liqueur 50cl Btl ,23.00,,,OBriens,20200919
 Teeling Single Grain Whiskey 70cl ,42.00,47.95,,OBriens,20200919
 Paddy 1L ,43.00,,,OBriens,20200919
 Cork Dry Gin 70cl ,20.95,24.95,,OBriens,20200919
 Method & Madness Single Grain 70cl ,40.00,53.00,,OBriens,20200919
 Ciroc Vodka 70cl ,50.00,,,OBriens,20200919
 Kilbeggan 70cl ,22.95,27.50,,OBriens,20200919
 Casamigos Blanco 70cl ,72.00,,,OBriens,20200919
 Powers Gold Label 70cl ,23.95,31.95,,OBriens,20200919
 Jameson Crested Whiskey 70cl ,29.95,36.50,,OBriens,20200919
 Bushmills White Label 70cl ,29.00,,,OBriens,20200919
 Baileys Strawberries & Cream 70cl ,22.00,,,OBriens,20200919
 Cointreau 70cl ,35.00,,,OBriens,20200919
 Maker's Mark Bourbon 70cl ,46.00,,,OBriens,20200919
 Beefeater Blood Orange 70cl ,26.00,,,OBriens,20200919
 Bosford Pink Gin 70cl ,27.00,,,OBriens,20200919
 Beefeater Pink Gin 70cl ,24.95,,,OBriens,20200919
 Diplomatico Reserva Rum 70cl ,55.00,,,OBriens,20200919
 Jameson Black Barrel 70cl ,39.95,50.00,,OBriens,20200919
 Smirnoff 1L ,27.95,33.95,,OBriens,20200919
 Remy VSOP 70cl ,55.00,,,OBriens,20200919
 Buffalo Trace Bourbon 70cl ,32.00,40.00,,OBriens,20200919
 Writers' Tears Double Oak 70cl ,50.00,55.00,,OBriens,20200919
 Southern Comfort 70cl ,29.50,,,OBriens,20200919
 Havana Club Anejo Especial 70c ,22.95,31.00,,OBriens,20200919
 Method & Madness Gin 70cl ,50.00,,,OBriens,20200919
 Jack Daniels 70cl ,27.95,34.95,,OBriens,20200919
 Beefeater 24 70cl ,40.00,,,OBriens,20200919
 Lillet Rosé 75cl Btl ,25.00,,,OBriens,20200919
 Jawbox Gin 70cl ,50.00,,,OBriens,20200919
 Knappogue 12YO 70cl ,35.00,47.00,,OBriens,20200919
 Jagermeister 70cl ,24.00,28.00,,OBriens,20200919
 Bombay Sapphire English Estate 70cl ,33.50,,,OBriens,20200919
 Sausage Tree Vodka 70cl ,48.95,,,OBriens,20200919
 Bombay Sapphire Star 70cl ,52.00,,,OBriens,20200919
 Campari 70cl ,25.50,,,OBriens,20200919
 Jack Daniels Gentleman Jack 70cl ,48.00,,,OBriens,20200919
 Writers' Tears Copper Pot 70cl ,39.95,45.00,,OBriens,20200919
 Johnnie Walker Red Label 70cl ,30.00,,,OBriens,20200919
 El Jimador Tequila Blanco 70cl ,35.00,,,OBriens,20200919
 Tanqueray Gin 70cl ,25.00,32.00,,OBriens,20200919
 Frangelico 70cl ,26.95,,,OBriens,20200919
 Dingle Single Malt 70cl ,65.00,70.00,,OBriens,20200919
 Bonac Gin 70cl ,45.00,,,OBriens,20200919
 Redbreast 15YO 70cl ,100.00,,,OBriens,20200919
 Five Farms Irish Cream 70cl ,29.95,34.95,,OBriens,20200919
 Bulleit Bourbon 70cl ,42.00,,,OBriens,20200919
 Jack Daniels Honey 70cl ,27.95,34.95,,OBriens,20200919
 Midleton Barry Crocket Legacy Single Pot Still ,250.00,,,OBriens,20200919
 Canadian Club 70cl ,35.00,,,OBriens,20200919
 Grey Goose Vodka 70cl ,58.00,,,OBriens,20200919
 Kinsale Hazy Summer Mead 70cl ,22.00,,,OBriens,20200919
 Bushmills Sing Malt 21YO Card ,150.00,175.00,,OBriens,20200919
 Jack Daniels Single Barrel 70cl ,59.25,,,OBriens,20200919
 Bombay Bramble 70cl ,27.00,33.00,,OBriens,20200919
 Graham Norton Pink Gin 70cl ,42.00,,,OBriens,20200919
 Clonakilty Minke Gin 70cl ,44.95,,,OBriens,20200919
 Tia Maria 70cl ,21.00,24.00,,OBriens,20200919
 Straw Boys Irish Vodka 70cl ,29.95,36.00,,OBriens,20200919
 Conncullin Irish Gin 70cl ,40.00,49.00,,OBriens,20200919
 Game of Thrones House Tyrell & Clynelish 70cl ,65.00,,,OBriens,20200919
 Game of Thrones Mortlach 15 Year Old ,140.00,,,OBriens,20200919
 Bacardi Spiced 70cl ,20.00,26.50,,OBriens,20200919
 Teeling Single Pot Still 70cl ,50.00,55.00,,OBriens,20200919
 Wild Red Mead 70cl ,22.00,,,OBriens,20200919
 Berthas Revenge Gin 70cl ,49.95,,,OBriens,20200919
 Havana Club 7YO 70cl ,34.00,41.00,,OBriens,20200919
 Patron Silver 70cl ,66.00,,,OBriens,20200919
 Bushmills 16YO 70cl ,82.00,90.00,,OBriens,20200919
 Jameson Cold Brew 70cl ,25.00,31.00,,OBriens,20200919
 Tails Classic Mojito 1L ,36.00,,,OBriens,20200919
 Tails Espresso Martini 1L ,36.00,,,OBriens,20200919
 Havana Club 3YO 70cl ,24.00,27.95,,OBriens,20200919
 Huzzar 1L ,32.95,,,OBriens,20200919
 Chinnery Gin 70cl ,50.00,,,OBriens,20200919
 Berkeley Square Gin 70cl ,40.00,50.00,,OBriens,20200919
 Pernod 70cl ,31.50,,,OBriens,20200919
 Malibu 70cl ,21.50,,,OBriens,20200919
 Atlantic Dry Mead 70cl ,22.00,,,OBriens,20200919
 Glendalough Wild Botanical 70cl ,38.00,,,OBriens,20200919
 Mor Irish Gin 70cl ,48.00,,,OBriens,20200919
 Kraken Black Spiced Rum 70cl ,29.95,,,OBriens,20200919
 Patron XO Cafe 70cl ,47.00,,,OBriens,20200919
 Game of Thrones House Baratheon & Lochnagar 70cl ,65.00,,,OBriens,20200919
 Knappogue 21YO 70cl ,190.00,,,OBriens,20200919
 Glendronach 21 Year Old Parliament 70cl ,155.00,,,OBriens,20200919
 Paddy 70cl ,22.95,28.95,,OBriens,20200919
 Jim Beam 70cl ,25.00,28.50,,OBriens,20200919
 Courvoisier VS 70cl ,36.00,,,OBriens,20200919
 Pearse Founders Cho 12YO 70cl ,59.00,64.00,,OBriens,20200919
 Glenturret 10YO 70cl ,45.00,50.00,,OBriens,20200919
 Knappogue 16YO 70cl ,70.00,80.00,,OBriens,20200919
 Teeling Small Batch Whiskey 70cl ,35.00,38.00,,OBriens,20200919
 Ha'Penny Whiskey 70cl ,35.00,42.95,,OBriens,20200919
 Johnnie Walker BlackLabel 70cl ,42.95,,,OBriens,20200919
 Drambuie 70cl ,41.00,,,OBriens,20200919
 Pearse Distillers Choice 70cl ,44.00,49.00,,OBriens,20200919
 Pearse The Original Blend 70cl ,39.00,44.00,,OBriens,20200919
 Silver Spear Gin 70cl ,48.95,,,OBriens,20200919
 Longueville Apple Brandy 50cl ,35.00,,,OBriens,20200919
 Cardhu 70cl ,53.00,,,OBriens,20200919
 Eristoff Vodka 1L ,34.95,,,OBriens,20200919
 Kinsale Mead Miniature Gift Pack ,18.95,,,OBriens,20200919
 Glendalough Pot Still ,50.00,55.00,,OBriens,20200919
 Drumshanbo Inaugural 46% Single Pot Still ,70.00,80.00,,OBriens,20200919
 Ketel One Botanicals Cucumber & Mint 70cl Btl ,30.00,,,OBriens,20200919
 Ketel One Botanicals Peach & Orange 70cl Btl ,30.00,,,OBriens,20200919
 Glendronach 18 Year Old 70cl ,125.00,,,OBriens,20200919
 Bushmills Black Bush 70cl ,25.95,32.00,,OBriens,20200919
 Redbreast 21YO 70cl ,185.00,,,OBriens,20200919
 Eristoff 50cl ,18.25,,,OBriens,20200919
 Tyrconnell Single Malt 43% 70cl ,34.00,39.95,,OBriens,20200919
 Game of Thrones House Tully & Singleton 70cl ,65.00,,,OBriens,20200919
 Mor Black Gin 70cl ,48.00,,,OBriens,20200919
 Game of Thrones Whisky Set ,490.00,,,OBriens,20200919
 Ketel One Botanicals Grapefruit & Rose 70cl Btl ,30.00,,,OBriens,20200919
 King of Soho Gin 70cl ,43.95,,,OBriens,20200919
 Tyrconnell (Old Blend) 70cl ,37.00,,,OBriens,20200919
 Laphroaig Islay 10YO 70cl ,61.00,,,OBriens,20200919
 Hennessy VSOP 70cl ,60.00,,,OBriens,20200919
 Method & Madness Single Malt 70cl ,75.00,82.00,,OBriens,20200919
 Pearse Coopers Select 70cl ,62.00,69.00,,OBriens,20200919
 Von Hallers Gin 50cl ,49.00,,,OBriens,20200919
 Jim Beam Double Oak 70cl ,40.00,,,OBriens,20200919
 Eagle Rare 10YO Bourbon 70cl ,40.00,50.00,,OBriens,20200919
 Glendalough Double Barrel 70cl ,32.00,35.00,,OBriens,20200919
 Seedlip 108 Non Alc Gin 70cl ,32.95,,,OBriens,20200919
 Game of Thrones House Targaryen & Cardhu 70cl ,65.00,,,OBriens,20200919
 Johnnie Walker Ghost & Rare Port Ellen Edition ,315.00,,,OBriens,20200919
 Coole Swan 70cl ,25.00,,,OBriens,20200919
 Glendalough Rose Gin 70cl ,37.95,,,OBriens,20200919
 Clonakilty Port Cask 70cl ,48.00,53.00,,OBriens,20200919
 Connacht Brothership 70cl ,69.95,79.95,,OBriens,20200919
 Olmeca Tequila Reposado 70cl ,33.50,,,OBriens,20200919
 Method & Madness Single Pot Still 70cl ,75.00,,,OBriens,20200919
 Prizefight Whiskey 70cl ,49.95,,,OBriens,20200919
 Knappogue 14YO 70cl ,55.00,65.00,,OBriens,20200919
 Irishman 12YO Single Malt 70cl ,60.00,65.00,,OBriens,20200919
 Tullamore Dew 12YO 70cl ,43.00,48.00,,OBriens,20200919
 Teeling Poitin 50cl ,33.00,,,OBriens,20200919
 Bols Triple Sec 70cl ,31.00,,,OBriens,20200919
 Strathclyde 1980 ,179.00,,,OBriens,20200919
